product_id,description,specification
11,"On the track, in the pool or under the ocean, the WF-SP900 headphones are all you need to take you further than ever before. With a truly wireless design and 4GB of on-board storage so you can listen anywhere.","{""WEIGHT"": ""Approx. 7.3g x 2 (not including the arc supporters)"", ""HEADPHONE TYPE"": ""Closed Balanced Armature"", ""DRIVER UNIT"": ""Balanced Armature"", ""FREQUENCY RESPONSE(BLUETOOTH COMMUNICATION)"": ""20Hz - 20,000Hz (44.1kHz Sampling)"", ""VOLUME CONTROL"": ""Yes (Tap sensor)"", ""WATERPROOF"": ""IPX5 / IPX8 (Headset only)2"", ""NFC"": ""Yes (Charging Case)"", ""MEMORY SIZE"": ""4GB3"", ""MUSIC PLAY MODE"": ""Normal / Repeat /Shuflle / Shuffle all / Repeat 1 Song / Folder / Playlists / Album"", ""AUDIO PLAYBACK"": ""MP3 ( .mp3) WMA ( .wma) FLAC ( .flac) WAV ( .wav) AAC ( .mp4, .m4a, .3gp)4"", ""AMBIENT SOUND MODE"": ""Yes"", ""BATTERY CHARGE TIME"": ""Approx. 2.5 Hours (Full charge )"", ""BATTERY CHARGE METHOD"": ""USB charging (with Charging Case)"", ""BATTERY LIFE(CONTINUOUS MUSIC PLAYBACK TIME)"": ""Max. 3 Hours (Ambient sound mode OFF ) *via Bluetooth playback5678"", ""BATTERY LIFE(CONTINUOUS MUSIC PLAYBACK TIME WITH INTERNAL MEMORY)"": ""Max. 6 Hours (Ambient sound mode OFF) *internal memory playback5678"", ""BATTERY LIFE(CONTINUOUS COMMUNICATION TIME)"": ""Max. 2.5 Hours"", ""BLUETOOTH VERSION"": ""Bluetooth Specification Version 4.0"", ""EFFECTIVE RANGE"": ""Line of sight approx.30ft (10m)"", ""FREQUENCY RANGE"": ""2.4GHz band (2.4000GHz-2.4835GHz)"", ""PROFILE"": ""A2DP (Advanced Audio Distribution Profile) ,AVRCP (Audio Video Remote Control Profile) ,HFP (Hands-free Profile) ,HSP (Headset Profile)9"", ""SUPPORTED AUDIO FORMAT(S)"": ""SBC, AAC1011"", ""SUPPORTED CONTENT PROTECTION"": ""SCMS-T""}"
12,"Discover a world of uncompromising silence where you can enjoy music without noise or distraction in all-day comfort. Industry-leading noise cancellation1, superior sound quality and the comfort of an angled earphone design take listening to a whole new level.","{""WEIGHT"": ""Approx. 58 g (main unit approx. 44 g)"", ""HEADPHONE TYPE"": ""Closed,Hybrid"", ""DRIVER UNIT"": ""Hybrid"", ""MAGNET"": ""Neodymium"", ""IMPEDANCE (OHM)"": ""50 ohm(1kHz)(when connecting via the headphone cable with the unit turned on), 17 ohm(1kHz)(when connecting via the headphone cable with the unit turned off)"", ""FREQUENCY RESPONSE"": ""3 Hz-40,000 Hz"", ""FREQUENCY RESPONSE (ACTIVE OPERATION)"": ""20Hz - 20,000Hz (44.1kHz Sampling) / 20Hz - 40,000Hz (LDAC 96kHz Sampling, 990kbps)"", ""FREQUENCY RESPONSE(BLUETOOTH COMMUNICATION)"": ""20Hz - 20,000Hz (44.1kHz Sampling) / 20Hz - 40,000Hz (LDAC 96kHz Sampling, 990kbps)"", ""SENSITIVITIES (DB/MW)"": ""99 dB/mW (when connecting via the headphone cable with the unit turned on), 94 dB/mW (when connecting via the headphone cable with the unit turned off)"", ""VOLUME CONTROL"": ""Yes"", ""CORD TYPE"": ""Single-sided (detachable)"", ""CORD LENGTH"": ""approx. 1m"", ""PLUG"": ""Gold-plated L-shaped Stereo Mini"", ""INPUT(S)"": ""Stereo Mini"", ""WEARING STYLE"": ""Neckband"", ""NFC"": ""Yes"", ""DSEE HX"": ""Yes"", ""PASSIVE OPERATION"": ""Yes"", ""BATTERY CHARGE TIME"": ""Approx. 3.5 hours, This unit can be used for 80 minutes after 10 minutes charging."", ""BATTERY CHARGE METHOD"": ""USB"", ""BATTERY LIFE(CONTINUOUS MUSIC PLAYBACK TIME)"": ""Max. 10 hours (NC ON), Max. 12 hours (Ambient Sound Mode), Max. 15 hours (NC OFF)"", ""BATTERY LIFE(CONTINUOUS COMMUNICATION TIME)"": ""Max. 9 hours (NC ON), Max. 10 hours (Ambient Sound Mode), Max. 13 hours (NC OFF)"", ""BATTERY LIFE(WAITING TIME)"": ""Max. 11 hours (NC ON), Max. 13 hours (Ambient Sound Mode), Max. 100 hours (NC OFF)"", ""BLUETOOTH VERSION"": ""Bluetooth Specification Version5.0"", ""EFFECTIVE RANGE"": ""Line of sight approx.30ft (10m)"", ""FREQUENCY RANGE"": ""2.4GHz band (2.4000GHz-2.4835GHz)"", ""PROFILE"": ""A2DP, AVRCP, HFP, HSP"", ""SUPPORTED AUDIO FORMAT(S)"": ""SBC, AAC, LDAC"", ""SUPPORTED CONTENT PROTECTION"": ""SCMS-T"", ""NOISE CANCELING ON/OFF SWITCH"": ""Yes"", ""AMBIENT SOUND MODE"": ""Yes""}"
13,Experience the superior detail of High-Resolution Audio with an in-ear design that comes in a range of colours to suit your style.,"{""WEIGHT"": ""Approx. 5g (0.2 oz) without cable"", ""HEADPHONE TYPE"": ""Closed, dynamic"", ""DRIVER UNIT"": ""9mm, dome type (CCAW Voice Coil)"", ""MAGNET"": ""Neodym"", ""IMPEDANCE (OHM)"": ""16ohmsat 1kHz"", ""DIAPHRAGM"": ""PET"", ""FREQUENCY RESPONSE"": ""5Hz-40,000Hz"", ""SENSITIVITIES (DB/MW)"": ""103dB / mW"", ""CORD TYPE"": ""Y-type"", ""CORD LENGTH"": ""Approx. 1.2m (47 1 / 4 in) silver-coated OFC Litz wire"", ""PLUG"": ""L-shaped gold-plated 4-pole mini plug""}"
14,Designed in a new Silent White colour to reflect the concept of silence and serenity of the noise cancelling headphones.,"{""HEADPHONE TYPE"": ""Closed, dynamic"", ""DRIVER UNIT"": ""40mm, dome type (CCAW Voice coil)"", ""MAGNET"": ""Neodymium"", ""DIAPHRAGM"": ""Aluminum coated LCP"", ""FREQUENCY RESPONSE"": ""4Hz-40,000Hz"", ""FREQUENCY RESPONSE (ACTIVE OPERATION)"": ""4Hz-40,000Hz"", ""FREQUENCY RESPONSE(BLUETOOTH COMMUNICATION)"": ""20Hz - 20,000Hz (44.1kHz Sampling) / 20Hz - 40,000Hz (LDAC 96kHz Sampling, 990kbps)"", ""SENSITIVITIES (DB/MW)"": ""105dB / mW (1kHz) (when connecting via the headphone cable with the unit turned on) , 101dB / mW (1kHz) (when connecting via the headphone cable with the unit turned off)"", ""CORD TYPE"": ""Single-sided (detachable)"", ""CORD LENGTH"": ""Headphone cable (approx. 1.2m, OFC strands, gold-plated stereo mini plug)"", ""PLUG"": ""Gold-plated L-shaped stereo mini plug"", ""WEARING STYLE"": ""Circumaural"", ""NFC"": ""Yes"", ""DSEE EXTREME"": ""Yes"", ""PASSIVE OPERATION"": ""Yes""}"
15,"The precision sound and full-spectrum clarity of the MDR-1AM2 headphones captures the hearts of music lovers everywhere. And with a lightweight design and soft cushioned earpads, you can listen for hours in total comfort.","{""WEIGHT"": ""187g"", ""HEADPHONE TYPE"": ""Closed Dynamic"", ""DRIVER UNIT"": ""40mm (Dome Type)"", ""MAGNET"": ""Neodymium"", ""IMPEDANCE (OHM)"": ""16 Ohm"", ""DIAPHRAGM"": ""Aluminium-Coated LCP"", ""FREQUENCY RESPONSE"": ""3-100000Hz2"", ""SENSITIVITIES (DB/MW)"": ""98dB / mW"", ""CORD TYPE"": ""Detachable / Silver coated OFC"", ""CORD LENGTH"": ""1.2m"", ""PLUG"": ""Gold-plated L-shaped Stereo Mini"", ""WEARING STYLE"": ""Circumaural""}"
16,"Dual Wireless: 2.4G lossless + Bluetooth, Industry-leading hi-res capable speaker drivers, Lightweight aluminum alloy and steel construction, Swappable dual-battery system","{""Neodymium Drivers"": ""40mm"", ""Headphone Frequency Response"": ""10 - 40,000 Hz"", ""Headphone Sensitivity"": ""102 dB SPL"", ""Headphone Impedance"": ""32 Ohm"", ""Headphone Total Harmonic Distortion"": ""< 1%"", ""Microphone Type"": ""Retractable Boom"", ""Microphone Polar Pattern"": ""Bidirectional Noise-Canceling"", ""Microphone Frequency Response"": ""100 - 10,000 Hz"", ""Microphone Sensitivity"": ""-38 dBV/Pa"", ""Microphone Impedance"": ""2200 Ohm"", ""Microphone Noise Cancellation"": ""Yes"", ""Wireless 2.4G range"": ""40 ft, 12m"", ""Battery Life"": ""20 hours (10 per battery)"", ""Bluetooth Version"": ""4.1"", ""Bluetooth Profiles"": ""A2DP, HFP, HSP""}"
17,"Tusq gaming earbuds are designed with clear audio, upgraded mic quality, and a comfortable adjustable design to bring the all perks of a gaming headset to mobile earphones.","{""Headphone Style"": ""In-ear (canalphone)"", ""Headphone Frequency Response"": ""20 - 20000Hz"", ""Headphone Sensitivity"": ""102 dBSPL @ 1 kHz, 1 mW"", ""Headphone Total Harmonic Distortion"": ""<1%"", ""Microphone Frequency Response"": ""100 - 10,000 Hz"", ""Microphone Pattern"": ""Omnidirectional"", ""Microphone Sensitivity"": ""-44 dBV/Pa"", ""Microphone Location"": ""Detachable"", ""Connector Type"": ""Single 3.5mm, 4-pole plug"", ""Cable Length"": ""1.20m / 4ft."", ""Cable Material"": ""Rubber""}"
18,"Industry-leading hi-res capable speaker drivers, Lightweight aluminum alloy and steel construction, DTS Headphone:X v2.0 surround sound, ClearCast, the best mic in gaming","{""Neodymium Drivers"": ""40mm"", ""Headphone Frequency Response"": ""10 - 40,000 Hz"", ""Headphone Sensitivity"": ""102 dB SPL"", ""Headphone Impedance"": ""32 Ohm"", ""Headphone Total Harmonic Distortion"": ""< 1%"", ""Microphone Type"": ""Retractable Boom"", ""Microphone Polar Pattern"": ""Bidirectional Noise-Canceling"", ""Microphone Frequency Response"": ""100 - 10,000 Hz"", ""Microphone Sensitivity"": ""-38 dBV/Pa"", ""Microphone Impedance"": ""2200 Ohm"", ""Microphone Noise Cancellation"": ""Yes"", ""Version Support"": ""3.12.0 +"", ""Platform Support"": ""Windows 7+, Mac OS X 10.9+ (DTS Headphone:X available on Windows 7+ only)""}"
19,"Specifically designed for the PC Gamer, Arctis 5 combines independent game and chat control, cutting-edge DTS surround sound, and dual zone RGB illumination to create the perfect audio solution for your battlestation.","{""Neodymium Drivers"": ""40mm"", ""Headphone Frequency Response"": ""20 - 2000Hz"", ""Headphone Sensitivity"": ""98db"", ""Headphone Impedance"": ""32Ohm"", ""Headphone Total Harmonic Distortion"": ""< 3%"", ""Headphone Volume Control"": ""On Ear Cup"", ""Microphone Frequency Response"": ""100Hz - 10000Hz"", ""Microphone Pattern"": ""Bidirectional"", ""Microphone Sensitivity"": ""-48db"", ""Microphone Impedance"": ""2200 Ohm"", ""Microphone Noise Cancellation"": ""Yes"", ""Microphone Location"": ""Retractable"", ""Microphone Mute Toggle"": ""On Ear Cup"", ""Connector Type"": ""USB or 4-Pole 3.5mm via included adapter"", ""Cable Length"": ""30m / 100ft"", ""Cable Material"": ""Rubber"", ""Adapter"": ""Single 3.5mm, 4-Pole Plug"", ""Share Jack"": ""Yes"", ""Detachable Cable"": ""Yes""}"
20,"The original Bose Frames debuted in 2019 and quickly became one of our most popular products. Now the sequel is here. Thoughtfully refined and strikingly elegant, Bose Frames Soprano flaunt polarized lenses and premium craftsmanship, while exclusive Bose Open Ear Audioâ„¢ technology produces sound youâ€™d never expect from sunglasses. Itâ€™s a jaw-dropping experience that leaves you free to engage with the world around you, all while discreetly listening to music. As Esquire noted in choosing Bose Frames for Best Smart Accessory in their 2020 Gadget Guide, ""These things are about the coolest wearable tech out there.""","{""Frames Soprano"": ""55 mm x 17 mm x 136 mm(Lens width x Distance between lenses x Temple length)"", ""Weight"": ""1.76 oz"", ""Carrying case dimensions"": ""6.85 in L x 2.48 in W x 2.28 in"", ""Frames"": ""TR-90 nylon with IPX2 water resistant rating"", ""Lenses"": ""Shatter- and scratch-resistant premium plastic"", ""Carrying case"": ""Protective plastic with soft fabric lining"", ""Battery life"": ""Up to 5.5 hours"", ""Battery charging time"": ""Up to 1 hour"", ""Battery charge method"": ""Custom 4-pin charging cable"", ""Bluetooth range"": ""30 ft (9 m)"", ""Bluetooth version"": ""5.1"", ""Input"": ""Pogo pin charging cable""}"
21,"Bose Sport Open Earbuds are a truly different kind of sport headphone. That\'s because they\'re the first of their kind that donâ€™t go in your ears. Instead, they combine exclusive Bose OpenAudioâ„¢ technology with a unique open-ear design to produce high-quality sound without covering your ears. The city. The surf. Your running buddy. Hear it all and your music at the same time with these entirely new, entirely open sport earbuds.","{""Earbuds dimension"": ""2.2\' H x 1.9\' W x 0.75\' D (0.49 oz each earbud)"", ""Carrying case dimension"": ""1.6\' H x 4.4\' W x 2.8\' D (2.4 oz)"", ""Charging base dimension"": ""1.2\' H x 3.8\' W (1.7 oz)"", ""Earbuds material"": ""PC-ABS plastic composite"", ""Carry case material"": ""Plastic exterior, fabric inside, rubberized polyurethane"", ""Charging base material"": ""Plastic, rubber footing, metal charging pins"", ""Battery life"": ""Up to 8 hours"", ""Battery charging time"": ""2 hours"", ""Quick 30-minute charge"": ""Up to 3 hours"", ""Battery charge method"": ""Connect charging base to USB-A port on computer or standard wall charger (e.g. phone charger)"", ""Bluetooth range"": ""Up to 30 ft (9 m)"", ""Bluetooth version"": ""5.1 (A2DP, HFP, AVRCP, BLE)"", ""Codec"": ""SBC and AAC""}"
22,"World-class adjustable noise cancellation with situational awareness for when you want to let the world in. High-fidelity audio with adjustable EQ so you can tune music to your liking. Unrivaled voice pickup for the clearest calls. And protein leather cushions for all-day comfort. It\'s everything you demand from wireless Bluetooth headphones amplified. Bose Noise Cancelling Headphones 700, our most advanced headphones ever. And now they\'re bundled with the Headphones 700 Charging Case, making them an even smarter and more convenient  choice.","{""Battery life"": ""Up to 20 hours"", ""Charging case battery life"": ""Up to 40 hours"", ""Battery charging time"": ""Up to 2.5 hours"", ""Case charging time"": ""Up to 3 hours"", ""Quick 15-minute charge"": ""For up to 3.5 hours"", ""Battery charge method"": ""USB-C"", ""Bluetooth range"": ""Up to 33 ft (10 m)"", ""Bluetooth version"": ""5.0 (including all headphone profiles)"", ""Codec"": ""Codec SBC and AAC"", ""Microphone"": ""8 total microphones, 6 microphones for Active Noise Cancelling (ANC), 4 microphones for Voice Pickup (2 are shared with ANC)""}"
23,"Better sound begins with better silence. That\'s why we engineered QuietComfort Earbuds with the world\'s most effective noise cancelling and high-fidelity audio, plus StayHear Max tips for extra comfort. Because when you eliminate distractions, your music takes centerstage, and so does your passion. Roller skating, street art, woodworking and every other thing that makes you, you. It'\s an experience you won'\t find in any other wireless earbud. And now for a limited time, QuietComfort Earbuds are available in two new fashion-forward colors, Stone Blue or Sandstone, exclusive styles only from Bose. Just another way you\'ll stand out from the crowd.","{""Earbuds"": ""Plastic/gold plating/polymer coating"", ""Eartips"": ""Silicone"", ""Case"": ""Hard plastic"", ""Battery life"": ""Up to 6 hours"", ""Earbud battery charge time"": ""2 hours"", ""Charging case battery charge time"": ""3 hours"", ""Quick-charge time"": ""15 minutes for 2 hours"", ""Battery charge method"": ""USB-C or Qi certified wireless charging pad"", ""Battery type (earbud)"": ""Lithium-ion (metal-enclosed coin cell)"", ""Battery type (case)"": ""Lithium-ion (pouch cell)"", ""Battery feature"": ""Automatic on/off feature to preserve battery life"", ""Bluetooth range"": ""Up to 30 ft (9.144 m)"", ""Bluetooth version"": ""5.1"", ""Codec"": ""SBC and AAC"", ""Microphone"": ""4 total microphones""}"
24,Exercise is a demanding activity. And you demand wireless earbuds that are up to the challenge. SoundSport wireless headphones keep you moving with powerful audio and earbuds that stay secure and comfortable.,"{""Headphones"": ""1.2\' H x 1\' W x 1.2\' D (0.8 oz)"", ""Battery"": ""Rechargeable lithium-ion battery"", ""Charging time"": ""2 hours"", ""Battery life"": ""6 hours per full charge""}"
25,"Introducing the Bose QuietComfort 35 II Gaming Headset, engineered to play everything. With our award-winning noise cancelling technology and a detachable gaming module, this is the first 2-in-1 gaming and lifestyle headset from Bose. Designed for hours of competitive gaming and music listening, with a classic look and comfortable fit to wear at home, work, and everywhere in-between. ","{""Battery life"": ""Up to 20 hours wireless, up to 40 hours gaming/wired"", ""Battery charging time"": ""2.25 hours"", ""Quick 15-minute charge"": ""Up to 2.5 hours wireless, up to 5 hours gaming/wired"", ""Battery charge method"": ""Micro USB B"", ""Microphone"": ""7 total microphones (1 removable in boom), 4 microphones for Active Noise Cancelling (ANC), 2 microphones for voice pickup, 1 microphone for gaming in the boom mic"", ""Bluetooth range"": ""Up to 33 ft (10 m)"", ""Bluetooth version"": ""4.2 (A2DP, HFP, AVRCP, BLE)"", ""Codec"": ""SBC and AAC""}"
26,"Bose Sport Open Earbuds are a truly different kind of sport headphone. That\'s because they\'re the first of their kind that don\'t go in your ears. Instead, they combine exclusive Bose OpenAudio technology with a unique open-ear design to produce high-quality sound without covering your ears. The city. The surf. Your running buddy. Hear it all and your music at the same time with these entirely new, entirely open sport earbuds.","{""Microphone type"": ""150-ohm Dynamic Noise Cancelling"", ""Headset variants"": ""4-pin female XLR connector, 5-pin male XLR connector"", ""SoundComm B40 Headset"": ""8\' H x 6.5\' W x 3.5\' D"", ""On-head weight (not including cable) Single earcup"": ""10 oz"", ""On-head weight (not including cable) Dual earcup"": ""12.7 oz"", ""Cable length - Headset to control module"": ""4.8 ft"", ""Cable length - Control module to XLR connector"": ""10\'""}"
